collection,noise,rho,T,N_unlab,eps,act_t_map,act_ppi_map,ratio_map,act_t_sim,act_ppi_crossfit,ratio_crossfit,act_ppi_oracle,ratio_oracle,act_ppi_oracle_noclip,ratio_oracle_noclip,act_ppi_finiteN,ratio_finiteN
dbpedia-entity,0.3,0.5703084052138765,60,200,0.01,0.1533333333333333,0.23,1.5,0.149,0.198,1.2222222222222223,0.207,1.5220588235294117,0.203,1.1734104046242777,0.183,1.2281879194630874
dbpedia-entity,0.3,0.5703084052138765,60,200,0.02,0.3133333333333333,0.39,1.24468085106383,0.277,0.344,1.1582491582491583,0.388,1.255663430420712,0.387,1.2730263157894737,0.343,1.2382671480144405
dbpedia-entity,0.3,0.5703084052138765,60,200,0.05,0.79,0.7766666666666666,0.9831223628691984,0.868,0.862,1.0213270142180095,0.889,1.0194954128440368,0.896,1.0287026406429391,0.896,1.032258064516129
dbpedia-entity,0.3,0.5703084052138765,60,300,0.005,0.1733333333333333,0.2266666666666666,1.3076923076923077,0.101,0.133,1.1666666666666667,0.125,1.3888888888888888,0.16,1.3559322033898307,0.118,1.1683168316831682
dbpedia-entity,0.3,0.5703084052138765,60,300,0.01,0.24,0.3,1.25,0.16,0.194,1.28476821192053,0.204,1.478260869565217,0.19,1.2418300653594772,0.207,1.29375
dbpedia-entity,0.3,0.5703084052138765,60,300,0.02,0.29,0.4233333333333333,1.4597701149425288,0.28,0.37,1.1455108359133126,0.385,1.3139931740614335,0.408,1.3509933774834437,0.363,1.2964285714285713
dbpedia-entity,0.3,0.5703084052138765,60,300,0.05,0.8166666666666667,0.82,1.0040816326530613,0.851,0.871,1.0081018518518519,0.905,1.051103368176539,0.904,1.034324942791762,0.868,1.0199764982373678
dbpedia-entity,0.3,0.5703084052138765,90,50,0.005,0.2333333333333333,0.24,1.0285714285714285,0.167,0.149,0.8816568047337278,0.157,1.0753424657534247,0.172,0.9717514124293785,0.198,1.18562874251497
dbpedia-entity,0.3,0.5703084052138765,90,50,0.01,0.34,0.3966666666666666,1.1666666666666667,0.271,0.26,0.9187279151943464,0.251,1.1008771929824561,0.252,1.0285714285714287,0.313,1.154981549815498
dbpedia-entity,0.3,0.5703084052138765,90,50,0.02,0.5466666666666666,0.5133333333333333,0.9390243902439024,0.491,0.465,0.9432048681541583,0.489,1.0230125523012552,0.451,0.9678111587982833,0.551,1.1221995926680246
